"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","HUR","TOT","PC_LF","M","2020-05",6.8,
"SVK","HUR","TOT","PC_LF","M","2020-06",6.7,
"SVK","HUR","TOT","PC_LF","M","2020-07",6.8,
"SVK","HUR","TOT","PC_LF","M","2020-08",6.9,
"SVK","HUR","TOT","PC_LF","M","2020-09",6.8,
"ESP","HUR","TOT","PC_LF","M","2020-03",14.4,
"ESP","HUR","TOT","PC_LF","M","2020-04",15.1,
"ESP","HUR","TOT","PC_LF","M","2020-05",15.3,
"ESP","HUR","TOT","PC_LF","M","2020-06",16,
"ESP","HUR","TOT","PC_LF","M","2020-07",16.5,
"ESP","HUR","TOT","PC_LF","M","2020-08",16.7,
"ESP","HUR","TOT","PC_LF","M","2020-09",16.5,
"SWE","HUR","TOT","PC_LF","M","2020-03",6.8,
"SWE","HUR","TOT","PC_LF","M","2020-04",7.9,
"SWE","HUR","TOT","PC_LF","M","2020-05",8.4,
"SWE","HUR","TOT","PC_LF","M","2020-06",9.2,
"SWE","HUR","TOT","PC_LF","M","2020-07",9.1,
"SWE","HUR","TOT","PC_LF","M","2020-08",9.1,
"SWE","HUR","TOT","PC_LF","M","2020-09",9,
"TUR","HUR","TOT","PC_LF","M","2020-03",12.9,
"TUR","HUR","TOT","PC_LF","M","2020-04",13.6,
"TUR","HUR","TOT","PC_LF","M","2020-05",14,
"TUR","HUR","TOT","PC_LF","M","2020-06",14.3,
"TUR","HUR","TOT","PC_LF","M","2020-07",13.8,
"GBR","HUR","TOT","PC_LF","M","2020-03",3.8,
"GBR","HUR","TOT","PC_LF","M","2020-04",3.7,
"GBR","HUR","TOT","PC_LF","M","2020-05",3.7,
"GBR","HUR","TOT","PC_LF","M","2020-06",3.9,
"GBR","HUR","TOT","PC_LF","M","2020-07",4.3,
"USA","HUR","TOT","PC_LF","M","2020-03",4.4,
"USA","HUR","TOT","PC_LF","M","2020-04",14.7,
"USA","HUR","TOT","PC_LF","M","2020-05",13.3,
"USA","HUR","TOT","PC_LF","M","2020-06",11.1,
"USA","HUR","TOT","PC_LF","M","2020-07",10.2,
"USA","HUR","TOT","PC_LF","M","2020-08",8.4,
"USA","HUR","TOT","PC_LF","M","2020-09",7.9,
"CHL","HUR","TOT","PC_LF","M","2020-03",9.061919,
"CHL","HUR","TOT","PC_LF","M","2020-04",10.88862,
"CHL","HUR","TOT","PC_LF","M","2020-05",11.7563,
"CHL","HUR","TOT","PC_LF","M","2020-06",12.32599,
"CHL","HUR","TOT","PC_LF","M","2020-07",12.28694,
"CHL","HUR","TOT","PC_LF","M","2020-08",11.98031,
"EST","HUR","TOT","PC_LF","M","2020-03",4.8,
"EST","HUR","TOT","PC_LF","M","2020-04",6,
"EST","HUR","TOT","PC_LF","M","2020-05",7,
"EST","HUR","TOT","PC_LF","M","2020-06",8,
"EST","HUR","TOT","PC_LF","M","2020-07",7.8,
"EST","HUR","TOT","PC_LF","M","2020-08",8,
"ISR","HUR","TOT","PC_LF","M","2020-03",3.610594,
"ISR","HUR","TOT","PC_LF","M","2020-04",3.68627,
"ISR","HUR","TOT","PC_LF","M","2020-05",4.272801,
"ISR","HUR","TOT","PC_LF","M","2020-06",4.604377,
"ISR","HUR","TOT","PC_LF","M","2020-07",4.672119,
"ISR","HUR","TOT","PC_LF","M","2020-08",4.86817,
"ISR","HUR","TOT","PC_LF","M","2020-09",4.687041,
"SVN","HUR","TOT","PC_LF","M","2020-03",4.5,
"SVN","HUR","TOT","PC_LF","M","2020-04",5.4,
"SVN","HUR","TOT","PC_LF","M","2020-05",5.5,
"SVN","HUR","TOT","PC_LF","M","2020-06",5.3,
"SVN","HUR","TOT","PC_LF","M","2020-07",4.8,
"SVN","HUR","TOT","PC_LF","M","2020-08",4.7,
"SVN","HUR","TOT","PC_LF","M","2020-09",4.7,
"OECD","HUR","TOT","PC_LF","M","2020-03",5.536789,"E"
"OECD","HUR","TOT","PC_LF","M","2020-04",8.776213,"E"
"OECD","HUR","TOT","PC_LF","M","2020-05",8.649446,"E"
"OECD","HUR","TOT","PC_LF","M","2020-06",8.285195,"E"
"OECD","HUR","TOT","PC_LF","M","2020-07",8.02269,"E"
"OECD","HUR","TOT","PC_LF","M","2020-08",7.449293,"E"
"OECD","HUR","TOT","PC_LF","M","2020-09",7.267912,"E"
"G-7","HUR","TOT","PC_LF","M","2020-03",4.609415,"E"
"G-7","HUR","TOT","PC_LF","M","2020-04",9.157828,"E"
"G-7","HUR","TOT","PC_LF","M","2020-05",8.699079,"E"
"G-7","HUR","TOT","PC_LF","M","2020-06",7.808452,"E"
"G-7","HUR","TOT","PC_LF","M","2020-07",7.482127,"E"
"G-7","HUR","TOT","PC_LF","M","2020-08",6.735169,"E"
"G-7","HUR","TOT","PC_LF","M","2020-09",6.461538,"E"
"EA19","HUR","TOT","PC_LF","M","2020-03",7.2,
"EA19","HUR","TOT","PC_LF","M","2020-04",7.4,
"EA19","HUR","TOT","PC_LF","M","2020-05",7.6,
"EA19","HUR","TOT","PC_LF","M","2020-06",7.9,
"EA19","HUR","TOT","PC_LF","M","2020-07",8.1,
"EA19","HUR","TOT","PC_LF","M","2020-08",8.3,
"EA19","HUR","TOT","PC_LF","M","2020-09",8.3,
"LVA","HUR","TOT","PC_LF","M","2020-03",7.2,
"LVA","HUR","TOT","PC_LF","M","2020-04",8.2,
"LVA","HUR","TOT","PC_LF","M","2020-05",8.7,
"LVA","HUR","TOT","PC_LF","M","2020-06",8.9,
"LVA","HUR","TOT","PC_LF","M","2020-07",9,
"LVA","HUR","TOT","PC_LF","M","2020-08",8.8,
"LVA","HUR","TOT","PC_LF","M","2020-09",8.4,
"LTU","HUR","TOT","PC_LF","M","2020-03",6.6,
"LTU","HUR","TOT","PC_LF","M","2020-04",7.8,
"LTU","HUR","TOT","PC_LF","M","2020-05",8.5,
"LTU","HUR","TOT","PC_LF","M","2020-06",8.8,
"LTU","HUR","TOT","PC_LF","M","2020-07",9,
"LTU","HUR","TOT","PC_LF","M","2020-08",9.6,
"LTU","HUR","TOT","PC_LF","M","2020-09",9.8,
"COL","HUR","TOT","PC_LF","M","2020-03",12.19014,
"COL","HUR","TOT","PC_LF","M","2020-04",20.23626,
"COL","HUR","TOT","PC_LF","M","2020-05",21.13438,
"COL","HUR","TOT","PC_LF","M","2020-06",20.62735,
"COL","HUR","TOT","PC_LF","M","2020-07",19.65521,
"COL","HUR","TOT","PC_LF","M","2020-08",17.19132,
"COL","HUR","TOT","PC_LF","M","2020-09",16.61172,
"EU27_2020","HUR","TOT","PC_LF","M","2020-03",6.5,
"EU27_2020","HUR","TOT","PC_LF","M","2020-04",6.7,
"EU27_2020","HUR","TOT","PC_LF","M","2020-05",6.9,
"EU27_2020","HUR","TOT","PC_LF","M","2020-06",7.2,
"EU27_2020","HUR","TOT","PC_LF","M","2020-07",7.4,
"EU27_2020","HUR","TOT","PC_LF","M","2020-08",7.5,
"EU27_2020","HUR","TOT","PC_LF","M","2020-09",7.5,
